date,population,admission,release
2020-03-01,108306.80495100094,2223.5562233018286,1801.2213296970774
2020-03-02,108487.89625486213,1980.6459668915722,3617.186679662427
2020-03-03,107779.54888928462,2910.785260030866,3308.3154059496906
2020-03-04,107450.93533678849,2968.858188295186,2787.4525339643747
2020-03-05,107400.89750110425,2736.9623173277837,3488.830965336924
2020-03-06,107160.15923251961,3249.006142130432,3228.5697375124605
2020-03-07,107381.54269596112,3452.0948676206285,1469.1099732026964
2020-03-08,107990.3860359458,2078.3283131874077,1701.288832649701
2020-03-09,108067.15377109183,1788.365035537638,3563.5802358469864
2020-03-10,107394.18093531452,2993.1913081156354,3158.7655424943614
2020-03-11,107223.18618811529,2986.418231192558,3575.376853597052
2020-03-12,106681.624938453,3036.4966384175173,3099.0809650028873
2020-03-13,106389.33149505849,2809.3875216084007,3106.287025608948
2020-03-14,106108.69125031719,2825.14678086766,1479.7331794551021
2020-03-15,106559.50485172974,1929.8359276969597,1697.0642062489485
2020-03-16,106537.67947235302,1675.238826872237,4150.774351176485
2020-03-17,104356.92655674444,1972.4362906403535,3892.054423640253
2020-03-18,102300.10842374455,1835.2362906403532,3397.9469624739677
2020-03-19,100408.85267933644,1508.6379967773535,3290.346122137833
2020-03-20,98475.763601595,1357.257044396401,2993.3309706226814
2020-03-21,96773.0078571869,1290.575226214583,1060.669859511571
2020-03-22,96672.069284496,958.8312868206436,1051.6137097789506
2020-03-23,96380.9996957623,760.0441210452424,2936.220358873838
2020-03-24,94526.62328884675,1084.777075590697,2817.101588566829
2020-03-25,92862.23210920395,1157.3770755906971,2387.9999402151807
2020-03-26,91450.74111271134,977.0089437225653,2067.2078767231174
2020-03-27,90449.57075113936,1067.9518008654222,2036.955495770737
2020-03-28,89413.56705623402,1001.868467532089,717.6711523363933
2020-03-29,89598.36639163175,906.1593766229981,812.9024654677063
2020-03-30,89566.13239369616,781.0018008654222,1933.9580210232623
2020-03-31,88538.79839576052,908.9018008654223,1840.4048809266437
2020-04-01,87663.8191683563,967.6188902374031,1996.8342287527305
2020-04-02,86654.06216317431,988.0772235707365,1839.2747049432066
2020-04-03,85913.83888815105,981.5643267453395,1761.0123492433509
2020-04-04,85022.38834040053,870.5466499776628,760.1083088393109
2020-04-05,84997.16001487218,734.8799833109961,718.2416421726441
2020-04-06,84970.16502267722,691.2466499776627,1671.0124755059771
2020-04-07,84198.08669714889,901.3716499776627,1561.417147223149
2020-04-08,83600.54119990343,956.2808198618327,1537.5376103471463
2020-04-09,83034.2922113149,964.7915156221345,1724.0989406758963
2020-04-10,82312.8467777808,1182.15350714179,1210.806760633716
2020-04-11,82229.1400444354,1127.9333606216435,580.8463229232786
2020-04-12,82531.51462422128,883.2209027091856,591.1955653475211
2020-04-13,82680.2339009769,740.2725656803609,1647.3231521915711
2020-04-14,81938.21910530086,901.5242656064509,1480.7890612824801
2020-04-15,81439.49673386726,982.5916898488753,1416.3274670795818
2020-04-16,80992.56240591194,965.9764724575709,1481.812937165052
2020-04-17,80508.09036428136,998.1742288678274,1395.8546038317186
2020-04-18,80166.85443376192,1053.077006645605,645.5059927206075
2020-04-19,80430.2268365758,909.378395534494,682.2559927206075
2020-04-20,80535.68257272303,783.5450622011608,1518.944699284314
2020-04-21,80132.85938351633,1118.1216313527298,1348.45065785939
